objectid,parentid,title,creator,date,date-is-approximate?,description,physicaldescription,subject,location,latitude,longitude,source,type,format,language,rights,rightsstatement,display_template,object_location,identifier,image_small,image_thumb,image_alt_text,object_transcript
wiharchive011,wiharchive010,"Corner Brook volunteers waiting to depart to Port aux Basques, front",,1940-04-12,,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0007.jpg,WIHWWII1940_20240831_0007,objects/small/wihwwii1940_20240831_0007_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0007_th.jpg,"The black-and-white photograph depicts a group of men outdoors, dressed in formal attire. In the foreground, three men are prominently standing. The man on the left wears a long overcoat, a hat, and scarf draped around his neck. The middle man sports a suit jacket, tie, and a boutonnière on his lapel, with a hat tilted on his head. The man on the right also wears a suit and tie. Behind them, partially obscured, are other individuals similarly dressed. The backdrop consists of a building with vertical siding and a rocky landscape with trees. The photo's edges are worn and slightly damaged.",
wiharchive012,wiharchive010,"Corner Brook volunteers waiting to depart to Port aux Basques, back",,1940-04-12,,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0008.jpg,WIHWWII1940_20240831_0008,objects/small/wihwwii1940_20240831_0008_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0008_th.jpg,,
wiharchive013,,Corner Brook volunteers waiting to depart to Port aux Basques,Christopher Crocker,1940-04-12,,"A photo of a group of Corner Brook volunteers, with a child in the foreground, waiting to depart by train for Port aux Basques",1 black and white photograph; 11.5 x 7 cm,Photograph,"Corner Brook, NL",48.950001,-57.950001,Private family collection,record,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,multiple,,,objects/small/wihwwii1940_20240831_0009_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0009_th.jpg,,
wiharchive014,wiharchive013,"Corner Brook volunteers waiting to depart to Port aux Basques, front",,1940-04-12,,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0009.jpg,WIHWWII1940_20240831_0009,objects/small/wihwwii1940_20240831_0009_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0009_th.jpg,"The black and white photograph features a group of men wearing long overcoats and hats standing outdoors in front of a wooden building. The building in the background has horizontal siding and a gable roof. The photo is slightly faded, with a hazy foreground where the figures are partially obscured.",
wiharchive015,wiharchive013,"Corner Brook volunteers waiting to depart to Port aux Basques, back",,1940-04-12,,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0010.jpg,WIHWWII1940_20240831_0010,objects/small/wihwwii1940_20240831_0010_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0010_th.jpg,"The image shows the back of a worn photograph featuring handwritten text in blue ink. There is a small hole near the top and some discoloration and wear around the edges. There is a piece of stained tape affixed near the center. The text ""Down by the Old Badminton Hall before Departure Cyril Cross, Jack Barry and Jerry O'Keefe are in this picture"" is handwritten in a cursive style in blue ink. The surface appears aged, with slight stains and marks.",
wiharchive016,,Corner Brook volunteers aboard a train departing for Port aux Basques,Christopher Crocker,1940-04-12,,A photo of the Corner Brook volunteers aboard the train for Port aux Basques surrounded by a large crowd from the community,1 black and white photograph; 8.5 x 12 cm,Photograph,"Corner Brook, NL",48.950001,-57.950001,Private family collection,record,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,multiple,,,objects/small/wihwwii1940_20240831_0011_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0011_th.jpg,,
wiharchive017,wiharchive016,"Corner Brook volunteers aboard a train departing for Port aux Basques, front",,1940-04-12,,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0011.jpg,WIHWWII1940_20240831_0011,objects/small/wihwwii1940_20240831_0011_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0011_th.jpg,"The black-and-white photograph shows a bustling scene at a railway station. Two adjacent train cars are filled with passengers leaning out of the windows to interact with a large, densely packed crowd of men, women, and children on the platform. Many in the crowd are reaching up towards the passengers, waving or holding out hands. The train cars are dark in color, with visible windows, and one of them displays partially visible text: ""RAILWAY"" and the number ""18.""",
wiharchive018,wiharchive016,"Corner Brook volunteers aboard a train departing for Port aux Basques, back",,1940-04-12,,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0012.jpg,WIHWWII1940_20240831_0012,objects/small/wihwwii1940_20240831_0012_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0012_th.jpg,"The image shows the back of an aged photograph featuring handwritten text and a blue stamp. The handwritten inscription along the top left reads, ""C.B. boys leaving for WWII."" Below, it reads, ""MAY 12 1941"" in capital letters. In the lower central part of the image, there is a round blue stamp with the inscription ""J.C. Parsons, Photographer, Corner Brook.""",
wiharchive019,,Corner Brook volunteers aboard a train departing for Port aux Basques,Christopher Crocker,1940-04-12,,A photo of the Corner Brook volunteers aboard the train for Port aux Basques surrounded by a large crowd from the community with W.I. (Bill) Hann reaching over the rail,1 black and white photograph; 25 x 20 cm,Photograph,"Corner Brook, NL",48.950001,-57.950001,Private family collection,record,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,multiple,,,objects/small/wihwwii1940_20240831_0013_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0013_th.jpg,,
wiharchive020,wiharchive019,"Corner Brook volunteers aboard a train departing for Port aux Basques, front",,1940-04-12,,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0013.jpg,WIHWWII1940_20240831_0013,objects/small/wihwwii1940_20240831_0013_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0013_th.jpg,,
wiharchive021,wiharchive019,"Corner Brook volunteers aboard a train departing for Port aux Basques, back",,1940-04-12,,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0014.jpg,WIHWWII1940_20240831_0014,objects/small/wihwwii1940_20240831_0014_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0014_th.jpg,,
wiharchive022,,W.I. (Bill) Hann crossing the Atlantic,Christopher Crocker,1940-04-14,,A photo of W.I. (Bill) Hann in a suit standing on the deck of the Duchess of Richmond heading for Liverpool,1 black and white photograph; 11 x 6.5 cm,Photograph,Atlantic Ocean,49.149845,-29.337307,Private family collection,record,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,multiple,,,objects/small/wihwwii1940_20240831_0015_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0015_th.jpg,,
wiharchive023,wiharchive022,"W.I. (Bill) Hann crossing the Atlantic, front",,1940-04-14,,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0015.jpg,WIHWWII1940_20240831_0015,objects/small/wihwwii1940_20240831_0015_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0015_th.jpg,"The image is a black and white photograph of a man in a suit leaning against the a large cylindrical ventilation duct on a ship's deck. The man is dressed in a double-breasted suit with a tie and pocket square. The deck is wooden, and the background shows metal structures and cables.",
wiharchive024,wiharchive022,"W.I. (Bill) Hann crossing the Atlantic, back",,1940-04-14,,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0016.jpg,WIHWWII1940_20240831_0016,objects/small/wihwwii1940_20240831_0016_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0016_th.jpg,"The image the back of an aged photograph featuring handwritten text in brown ink. The handwriting is cursive and slightly slanted, occupying most of the upper half of the paper. It reads ""Taken on the Duchess of Richmond May 15th/40 A few days before I was wearing the most stylish suit in England."" The paper shows some minor stains and creases.",
wiharchive025,,Three soldiers in a tent,Christopher Crocker,1940-08-01,,"A photo of soldiers [Bill?] Butt, W.I. (Bill) Hann, and A.C. Shaw with their heads sticking out of a canvas tent taken in [East Anglia] England",1 black and white photograph; 6 x 8.5 cm,Photograph,"East Anglia, England",52.5000,1.0000,Private family collection,record,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,multiple,,,objects/small/wihwwii1940_20240831_0017_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0017_th.jpg,,
wiharchive026,wiharchive025,"Three soldiers in a tent, front",,1940-08-01,,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0017.jpg,WIHWWII1940_20240831_0017,objects/small/wihwwii1940_20240831_0017_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0017_th.jpg,The black and white photograph depicts three people partially emerging from inside a conical tent. The tent is on the left side of the image and reflects dappled sunlight filtering through leaves. The three individuals are lined vertically. They are surrounded by a densely wooded area. The photograph has a slight blurriness.,
wiharchive027,wiharchive025,"Three soldiers in a tent, back",,1940-08-01,,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0018.jpg,WIHWWII1940_20240831_0018,objects/small/wihwwii1940_20240831_0018_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0018_th.jpg,"The image shows the reverse side of an aged photograph with handwritten text in black ink. The text is written in cursive and reads ""Somewhere in England Aug 1st/40 Under Canvas Top Butt Bottom Ping (A.C. Shaw)",
wiharchive028,,Three soldiers,Christopher Crocker,1940-08-01,,"A photo of soldiers [Bill?] Butt (seated), W.I. (Bill) Hann, and A.C. Shaw taken in [East Anglia] England",1 black and white photograph; 8.5 x 6 cm,Photograph,"East Anglia, England",52.5000,1.0000,Private family collection,record,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,multiple,,,objects/small/wihwwii1940_20240831_0019_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0019_th.jpg,,
wiharchive029,wiharchive028,"Three soldiers, front",,1940-08-01,,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0019.jpg,WIHWWII1940_20240831_0019,objects/small/wihwwii1940_20240831_0019_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0019_th.jpg,"The image is a black and white photograph depicting three young men outdoors. The man in the foreground is seated cross-legged on the ground and shirtless. Behind him, two other men stand, with the one on the left slightly leaning forward with his right hand rested on the seated man's head. Both of the standing men are partially clothed in loose-fitting, casual attire. The background shows large trees with abundant foliage.",
wiharchive030,wiharchive028,"Three soldiers, back",,1940-08-01,,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0020.jpg,WIHWWII1940_20240831_0020,objects/small/wihwwii1940_20240831_0020_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0020_th.jpg,,
wiharchive031,,W.I. (Bill) Hann cutting branches,Christopher Crocker,1940-08-01,,A photo of W.I. (Bill) Hann cutting branches from a tree with an ax taken in [East Anglia] England,1 black and white photograph; 8.5 x 6 cm,Photograph,"East Anglia, England",52.5000,1.0000,Private family collection,record,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,multiple,,,objects/small/wihwwii1940_20240831_0021_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0021_th.jpg,,
wiharchive032,wiharchive031,"W.I. (Bill) Hann cutting branches, front",,1940-08-01,,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0021.jpg,WIHWWII1940_20240831_0021,objects/small/wihwwii1940_20240831_0021_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0021_th.jpg,"The black and white image depicts a man standing outdoors in a wooded area. He is shirtless and appears to be smiling while holding an axe with both hands. The man is wearing pants and his posture suggests he might be chopping wood. The background consists of dense foliage, with tree branches and leaves creating a canopy above him.",
wiharchive033,wiharchive031,"W.I. (Bill) Hann cutting branches, back",,1940-08-01,,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0022.jpg,WIHWWII1940_20240831_0022,objects/small/wihwwii1940_20240831_0022_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0022_th.jpg,,
wiharchive034,,W.I. (Bill) Hann sawing branches,Christopher Crocker,1940-08-01,,A photo of W.I. (Bill) Hann cutting wood with a hand saw taken in [East Anglia] England,1 black and white photograph; 6 x 8.5 cm,Photograph,"East Anglia, England",52.5000,1.0000,Private family collection,record,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,multiple,,,objects/small/wihwwii1940_20240831_0023_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0023_th.jpg,,
wiharchive035,wiharchive034,"W.I. (Bill) Hann sawing branches, front",,1940-08-01,,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0023.jpg,WIHWWII1940_20240831_0023,objects/small/wihwwii1940_20240831_0023_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0023_th.jpg,"The black-and-white image shows a man engaged in manual work outdoors. He appears to be shirtless and is wearing loose pants. The man is using a saw to cut through a piece of wood, which is positioned on a stack of similar beams. The scene is set in a wooded area with trees and dense foliage in the background. There is a tent partially visible among the trees",
wiharchive036,wiharchive034,"W.I. (Bill) Hann sawing branches, back",,1940-08-01,,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0024.jpg,WIHWWII1940_20240831_0024,objects/small/wihwwii1940_20240831_0024_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0024_th.jpg,,
wiharchive037,,W.I. (Bill) Hann in uniform,Christopher Crocker,1940-08-01,,A photo of W.I. (Bill) Hann standing in a field wearing his army uniform taken in [East Anglia] England,1 black and white photograph; 8.5 x 6 cm,Photograph,"East Anglia, England",52.5000,1.0000,Private family collection,record,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,multiple,,,objects/small/wihwwii1940_20240831_0025_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0025_th.jpg,,
wiharchive038,wiharchive037,"W.I. (Bill) Hann in uniform, front",,1940-08-01,,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0025.jpg,WIHWWII1940_20240831_0025,objects/small/wihwwii1940_20240831_0025_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0025_th.jpg,"The image is a black-and-white photograph of a person in military uniform standing on a grassy field. The individual is facing the camera with hands clasped behind their back, wearing a buttoned-up jacket with epaulets and two breast pockets. The trousers are tucked into sturdy boots. A side cap is worn at an angle on the head. In the background, there are trees lining the horizon, and the sky is overcast.",
wiharchive039,wiharchive037,"W.I. (Bill) Hann in uniform, back",,1940-08-01,,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0026.jpg,WIHWWII1940_20240831_0026,objects/small/wihwwii1940_20240831_0026_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0026_th.jpg,,
wiharchive040,,W.I. (Bill) Hann in an RAF uniform,Christopher Crocker,1940-08-01,,A photo of W.I. (Bill) Hann standing in a field wearing an RAF uniform taken in [East Anglia] England,1 black and white photograph; 8.5 x 6 cm,Photograph,"East Anglia, England",52.5000,1.0000,Private family collection,record,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,multiple,,,objects/small/wihwwii1940_20240831_0027_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0027_th.jpg,,
wiharchive041,wiharchive040,"W.I. (Bill) Hann in an RAF uniform, front",,1940-08-01,,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0027.jpg,WIHWWII1940_20240831_0027,objects/small/wihwwii1940_20240831_0027_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0027_th.jpg,"The black and white photograph depicts a man standing outdoors on a grassy field. He is wearing a military uniform, consisting of a buttoned jacket, belted at the waist, and matching trousers. A cap is tilted on his head. The background shows a line of trees on the left, with an open field stretching to the right under a cloudy sky. The man is standing with his hands by his sides, looking directly at the camera",
wiharchive042,wiharchive040,"W.I. (Bill) Hann in an RAF uniform, back",,1940-08-01,,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0028.jpg,WIHWWII1940_20240831_0028,objects/small/wihwwii1940_20240831_0028_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0028_th.jpg,,
wiharchive043,,W.I. (Bill) Hann in uniform with overcoat,Christopher Crocker,1940-08-01,,A photo of W.I. (Bill) Hann standing in a field wearing his army uniform with an overcoat taken in [East Anglia] England,1 black and white photograph; 8.5 x 6 cm,Photograph,"East Anglia, England",52.5000,1.0000,Private family collection,record,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,multiple,,,objects/small/wihwwii1940_20240831_0029_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0029_th.jpg,,
wiharchive044,wiharchive043,"W.I. (Bill) Hann in uniform with overcoat, front",,1940-08-01,,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0029.jpg,WIHWWII1940_20240831_0029,objects/small/wihwwii1940_20240831_0029_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0029_th.jpg,"The black-and-white photograph features a person standing outdoors in an open field with a backdrop of trees. The individual is wearing a long, double-breasted, military-style overcoat with prominent lapels and visible buttons. The coat reaches down to their shins. They have their hands tucked behind their back and are wearing a side cap tilted to the side of their head. The person is looking directly at the camera, standing on grass, with trees visible in the distance under a cloudy sky.",
wiharchive045,wiharchive043,"W.I. (Bill) Hann in uniform with overcoat, back",,1940-08-01,,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0030.jpg,WIHWWII1940_20240831_0030,objects/small/wihwwii1940_20240831_0030_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0030_th.jpg,,
wiharchive046,,W.I. (Bill) Hann in uniform in full kit,Christopher Crocker,1940-08-01,,A photo of W.I. (Bill) Hann standing in a field wearing his army uniform in full kit taken in [East Anglia] England,1 black and white photograph; 8.5 x 6 cm,Photograph,"East Anglia, England",52.5000,1.0000,Private family collection,record,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,multiple,,,objects/small/wihwwii1940_20240831_0031_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0031_th.jpg,,
wiharchive047,wiharchive046,"W.I. (Bill) Hann in uniform in full kit, front",,1940-08-01,,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0031.jpg,WIHWWII1940_20240831_0031,objects/small/wihwwii1940_20240831_0031_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0031_th.jpg,"The black-and-white photograph features a soldier standing outdoors on a grassy field. He is dressed in a heavy, long military coat with large buttons and a metal helmet. A large, square backpack is secured to his front with straps over his shoulders. He holds a rifle vertically in his right hand, resting on the ground. Behind him, there are trees with dense foliage",
